商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180404-425342170881657,2018/4/5 15:58,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-445706064643203,2018/4/5 15:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-307551352320182,2018/4/5 15:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-272787700482686,2018/4/5 14:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-411809349121386,2018/4/5 14:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-345278855681944,2018/4/5 12:49,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180402-491877685760476,2018/4/5 11:56,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180403-206498322562346,2018/4/5 11:48,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-238997522560947,2018/4/5 10:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-262163361931699,2018/4/5 10:31,0,-0.76,优惠券结算,退款扣除优惠券支付金额
180404-262163361931699,2018/4/5 10:31,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180402-304143184641310,2018/4/5 9:44,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180402-312666689280316,2018/4/5 8:11,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180331-304810704643285,2018/4/5 6:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-480518105601236,2018/4/5 1:49,0,-0.75,优惠券结算,退款扣除优惠券支付金额
180404-480518105601236,2018/4/5 1:49,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180401-418339627521835,2018/4/4 23:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-502321610240841,2018/4/4 21:58,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180401-502436631043097,2018/4/4 21:23,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180404-489301742081250,2018/4/4 21:14,0,-3,优惠券结算,退款补用户优惠券
180404-489301742081250,2018/4/4 21:14,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-281781132800662,2018/4/4 20:48,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180402-323400250882804,2018/4/4 20:41,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180401-470517579522512,2018/4/4 19:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-524918255360696,2018/4/4 19:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-463723431683343,2018/4/4 18:56,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-391046188800635,2018/4/4 18:23,3,0,优惠券结算,交易成功优惠券支付金额结算
180331-417167430401575,2018/4/4 18:15,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180331-437997273603427,2018/4/4 18:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-284345105923125,2018/4/4 17:07,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-395213720322851,2018/4/4 16:07,0.5,0,优惠券结算,交易成功优惠券支付金额结算
